sku,name,brand,category,description,unit,price,hsn,image,descimage
IFUGE M08,IFUGE M08 MAGNETIC ROTOR,Neuation / Accumax,Rotors & Buckets,,unit,11082,,,
IFUGE M08VT,IFUGE M08VT MAGNETIC ROTOR,Neuation / Accumax,Rotors & Buckets,,unit,15713,,,
IFUGE M5K COMBI,IFUGE M5K COMBI,Neuation / Accumax,Centrifuges,,unit,18079,,,
IFUGE M15K,IFUGE M15K,Neuation / Accumax,Centrifuges,,unit,57743,,,
M12-R2X8,ROTOR (ASS)_M15K_PCR_PL,Neuation / Accumax,Rotors & Buckets,,unit,17498,,,
M12-R12-03,ROTOR (ASS)_M15K_PLASTIC,Neuation / Accumax,Rotors & Buckets,,unit,10686,,,
IFUGE M24 NXT,IFUGE M24 (2.0),Neuation / Accumax,Centrifuges,,unit,81510,,,
IFUGE M24PR,IFUGE M24PR (2.0),Neuation / Accumax,Centrifuges,,unit,219022,,,
M24-R24,ROTOR (ASS)_24 SLOT ROTOR_0124-00-0601,Neuation / Accumax,Rotors & Buckets,,unit,29823,,,
M24-R44,ROTOR (ASS)_44 SLOT ROTOR_0124-00-0701,Neuation / Accumax,Rotors & Buckets,,unit,37437,,,
M24-R8,ROTOR (ASS)_5 ML ROTOR_0122-00-0900,Neuation / Accumax,Rotors & Buckets,,unit,37054,,,
M24-R4 X 8,ROTOR (ASS)_8X4 PCR ROTOR_0124-00-0801,Neuation / Accumax,Rotors & Buckets,,unit,41512,,,
IFUGE D06,IFUGE D06 (WITH 6 TUBE ROTOR),Neuation / Accumax,Rotors & Buckets,,unit,49017,,,
SEZ-14,IFUGE D06 (WITH 8 TUBE ROTOR),Neuation / Accumax,Rotors & Buckets,,unit,49865,,,
D06-8A,ROTOR (ASS)_8X15_D06,Neuation / Accumax,Rotors & Buckets,,unit,8845,,,
D06-6A,ROTOR (ASS)_6X15_D06,Neuation / Accumax,Rotors & Buckets,,unit,7997,,,
IFUGE D08,IFUGE D08,Neuation / Accumax,Centrifuges,,unit,32462,,,
IFUGE HCT NXT,IFUGE HCT NXT,Neuation / Accumax,Centrifuges,,unit,64938,,,
IFUGE C4000 NXT,IFUGE C4000 NXT (WITHOUT ROTOR),Neuation / Accumax,Rotors & Buckets,,unit,60428,,,
SEZ-20,IFUGE C4000 NXT (WITH 16 X 10 ML ROTOR),Neuation / Accumax,Rotors & Buckets,,unit,68818,,,
SEZ-21,IFUGE C4000 NXT (WITH 8 X 15 ML ROTOR),Neuation / Accumax,Rotors & Buckets,,unit,66155,,,
SEZ-22,IFUGE C4000 (WITH 6 X 10 ML ROTOR),Neuation / Accumax,Rotors & Buckets,,unit,66155,,,
CS01-RA08,ROTOR (ASS)_CS06_8X15ML_FIX_ANGLE_ROTOR (C01 RA08),Neuation / Accumax,Rotors & Buckets,,unit,5726,,,
CS01-RA16,ROTOR (ASS)_CS06_16X10ML_FIX_ANGLE_ROTOR (C01 RA16),Neuation / Accumax,Rotors & Buckets,,unit,8389,,,
CS01-RS06,ROTOR (ASS)_CS06_6X10ML SWING ROTOR (C01 RS06),Neuation / Accumax,Rotors & Buckets,,unit,5726,,,
IFUGE CS03,IFUGE CS03 NXT,Neuation / Accumax,Centrifuges,,unit,61237,,,
C01-RS02,50ML_2-TUBE_ROTOR_ASS._0146,Neuation / Accumax,Rotors & Buckets,,unit,7445,,,
C01-RS03,50ML_3-TUBE_ROTOR_ASS._0146,Neuation / Accumax,Rotors & Buckets,,unit,22148,,,
IFUGE CYTO,IFUGE CYTO CENTRIFUGE,Neuation / Accumax,Centrifuges,,unit,71844,,,
IFUGE GC12,IFUGE GC12 UNIVERSAL GEL CARD CENTRIFUGE,Neuation / Accumax,Centrifuges,,unit,75649,,,
IFUGE CS2P,IFUGE CS2P NXT,Neuation / Accumax,Centrifuges,,unit,64456,,,
C01-RS2P,ROTOR (ASS)_CS06_MICRO PLATE ROTOR ASSEMBLY (CS2P ROTOR),Neuation / Accumax,Rotors & Buckets,,pack,9970,,,
IFUGE FX2P,IFUGE FX2P,Neuation / Accumax,Centrifuges,,unit,26354,,,
iFUGE CS04 NXT,iFUGE CS04 NXT,Neuation / Accumax,Centrifuges,,unit,76649,,,
IFUGE L400 NXT,IFUGE L400 NXT,Neuation / Accumax,Centrifuges,,unit,47334,,,
L400-NXT-FIX-BB,BACK BONE (ASS)_FIX ANGLE ROTOR_L400 NXT_0183,Neuation / Accumax,Rotors & Buckets,,unit,2979,,,
Bucket-53-Fix - 16 x 15ml rotor,FIX BUCKET (ASS)_16X15 ML FIX ANGLE ROTOR_0183-00-0501-0-003,Neuation / Accumax,Rotors & Buckets,,unit,3485,,,
L400-NXT-SWING-BB,BACK BONE (ASS)_SWING OUT ROTOR_L400 NXT_0183,Neuation / Accumax,Rotors & Buckets,,unit,2979,,,
